"","date","european_union_27_countries_from_2020","euro_area_20_countries_from_2023","belgium","bulgaria","czechia","denmark","germany","estonia","ireland","greece","spain","france","croatia","italy","cyprus","latvia","lithuania","luxembourg","hungary","malta","netherlands","austria","poland","portugal","romania","slovenia","slovakia","finland","sweden","iceland","norway","switzerland","bosnia_and_herzegovina","montenegro","north_macedonia","serbia","turkiye"
"1",2003-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2004-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2005-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2006-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2007-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2008-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.5",NA,NA,NA,NA,NA,NA,NA,NA
"7",2009-01-01,"17.9","20.3","23.1","2.1","4.8","24.6","31.7","9.4","21.3","6.0","12.4",17.9,"6.5","14.2","7.5","7.0","7.9","17.6","5.0","11.0","37.4","24.7","7.7","8.5","5.7","10.5","2.4","14.1","25.7","23.0","27.2",NA,NA,NA,"5.3",NA,"10.6"
"8",2010-01-01,"18.3","20.8","23.6","2.2","5.1","24.8","32.0","9.7","22.4","6.4","12.9",18.3,"7.0","14.9","8.3","7.9","7.8","17.4","5.3","11.6","38.4","25.3","7.7","8.4","6.4","11.3","2.7","14.6","25.6","22.4","27.1","34.0",NA,NA,"5.6",NA,"11.1"
"9",2011-01-01,"18.6","21.3","24.7","2.2","4.7","24.3","32.4","9.3","23.3","6.8","13.5",18.3,"7.2","15.3","9.0","7.5","8.3","18.0","6.2","12.6","38.6","25.3","7.3","8.4","6.2","10.4","2.8","14.8","25.0","20.5","26.7","34.0",NA,"4.2","6.0","6.7","11.3"
"10",2012-01-01,"19.0","21.9","24.7","2.2","5.0","24.1","32.3","9.1","23.6","7.9","14.4",18.4,"5.6","16.9","9.7","7.6","8.9","18.5","6.5","13.2","39.3","26.1","7.2","9.2","6.0","10.0","2.8","14.9","24.8","20.7","26.6","34.7",NA,"4.2","6.1","6.6","11.5"
