"","geo_labels","european_union_27_countries_from_2020","euro_area_20_countries_from_2023","belgium","bulgaria","czechia","denmark","germany","estonia","ireland","greece","spain","france","croatia","italy","cyprus","latvia","lithuania","luxembourg","hungary","malta","netherlands","austria","poland","portugal","romania","slovenia","slovakia","finland","sweden","iceland","norway","switzerland","bosnia_and_herzegovina","montenegro","north_macedonia","serbia","turkiye"
"1",2003-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2004-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2005-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.9",NA,NA,NA,NA,NA,NA,NA,NA
"4",2006-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.2",NA,NA,NA,NA,NA,NA,NA,NA
"5",2007-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.3",NA,NA,NA,NA,NA,NA,NA,NA
"6",2008-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.3",NA,NA,NA,NA,NA,NA,NA,NA
"7",2009-01-01,"9.3","9.7","8.0","7.9","6.7","6.4","7.3","13.5","12.6","9.8","17.9",9.1,"9.2","7.9","5.4","17.7","13.8","5.1","9.7","6.9","5.4","5.7","8.5","11.2","8.4","5.9","12.0","8.3","8.5","7.2","3.4",NA,NA,NA,"32.2",NA,"12.6"
"8",2010-01-01,"10.1","10.3","8.4","11.3","7.3","7.7","6.6","16.6","14.6","12.9","19.9",9.3,"11.7","8.5","6.3","19.7","17.8","4.4","10.8","6.9","6.1","5.2","10.0","12.6","9.0","7.3","14.3","8.6","8.7","7.6","4.0","4.8",NA,NA,"32.0","21.1","10.7"
"9",2011-01-01,"10.1","10.3","7.2","12.3","6.7","7.8","5.5","12.3","15.4","18.1","21.4",9.2,"13.7","8.5","7.9","16.3","15.4","4.9","10.7","6.4","6.0","4.9","10.0","13.5","9.1","8.2","13.5","8.0","7.9","7.0","3.6","4.4",NA,"19.7","31.4","25.0","8.8"
"10",2012-01-01,"11.1","11.5","7.6","13.3","7.0","7.8","5.1","9.9","15.5","24.8","24.8",9.8,"16.1","10.9","11.9","15.1","13.4","5.1","10.7","6.2","6.8","5.2","10.4","16.6","8.7","8.9","13.9","7.9","8.1","6.0","3.5","4.5",NA,"20.0","31.0","26.0","8.2"
