"","date","country","temporary_rate"
"1",2003-01-01,"euro_area_20_countries_from_2023",NA
"2",2003-01-01,"belgium",NA
"3",2003-01-01,"bulgaria",NA
"4",2003-01-01,"czechia",NA
"5",2003-01-01,"denmark",NA
"6",2003-01-01,"germany",NA
"7",2003-01-01,"estonia",NA
"8",2003-01-01,"ireland",NA
"9",2003-01-01,"greece",NA
"10",2003-01-01,"spain",NA
"11",2004-01-01,"euro_area_20_countries_from_2023",NA
"12",2004-01-01,"belgium",NA
"13",2004-01-01,"bulgaria",NA
"14",2004-01-01,"czechia",NA
"15",2004-01-01,"denmark",NA
"16",2004-01-01,"germany",NA
"17",2004-01-01,"estonia",NA
"18",2004-01-01,"ireland",NA
"19",2004-01-01,"greece",NA
"20",2004-01-01,"spain",NA
"21",2005-01-01,"euro_area_20_countries_from_2023",NA
"22",2005-01-01,"belgium",NA
"23",2005-01-01,"bulgaria",NA
"24",2005-01-01,"czechia",NA
"25",2005-01-01,"denmark",NA
"26",2005-01-01,"germany",NA
"27",2005-01-01,"estonia",NA
"28",2005-01-01,"ireland",NA
"29",2005-01-01,"greece",NA
"30",2005-01-01,"spain",NA
"31",2006-01-01,"euro_area_20_countries_from_2023",NA
"32",2006-01-01,"belgium",NA
"33",2006-01-01,"bulgaria",NA
"34",2006-01-01,"czechia",NA
"35",2006-01-01,"denmark",NA
"36",2006-01-01,"germany",NA
"37",2006-01-01,"estonia",NA
"38",2006-01-01,"ireland",NA
"39",2006-01-01,"greece",NA
"40",2006-01-01,"spain",NA
"41",2007-01-01,"euro_area_20_countries_from_2023",NA
"42",2007-01-01,"belgium",NA
"43",2007-01-01,"bulgaria",NA
"44",2007-01-01,"czechia",NA
"45",2007-01-01,"denmark",NA
"46",2007-01-01,"germany",NA
"47",2007-01-01,"estonia",NA
"48",2007-01-01,"ireland",NA
"49",2007-01-01,"greece",NA
"50",2007-01-01,"spain",NA
"51",2008-01-01,"euro_area_20_countries_from_2023",NA
"52",2008-01-01,"belgium",NA
"53",2008-01-01,"bulgaria",NA
"54",2008-01-01,"czechia",NA
"55",2008-01-01,"denmark",NA
"56",2008-01-01,"germany",NA
"57",2008-01-01,"estonia",NA
"58",2008-01-01,"ireland",NA
"59",2008-01-01,"greece",NA
"60",2008-01-01,"spain",NA
"61",2009-01-01,"euro_area_20_countries_from_2023",20.3
"62",2009-01-01,"belgium",23.1
"63",2009-01-01,"bulgaria",2.1
"64",2009-01-01,"czechia",4.8
"65",2009-01-01,"denmark",24.6
"66",2009-01-01,"germany",31.7
"67",2009-01-01,"estonia",9.4
"68",2009-01-01,"ireland",21.3
"69",2009-01-01,"greece",6
"70",2009-01-01,"spain",12.4
"71",2010-01-01,"euro_area_20_countries_from_2023",20.8
"72",2010-01-01,"belgium",23.6
"73",2010-01-01,"bulgaria",2.2
"74",2010-01-01,"czechia",5.1
"75",2010-01-01,"denmark",24.8
"76",2010-01-01,"germany",32
"77",2010-01-01,"estonia",9.7
"78",2010-01-01,"ireland",22.4
"79",2010-01-01,"greece",6.4
"80",2010-01-01,"spain",12.9
"81",2011-01-01,"euro_area_20_countries_from_2023",21.3
"82",2011-01-01,"belgium",24.7
"83",2011-01-01,"bulgaria",2.2
"84",2011-01-01,"czechia",4.7
"85",2011-01-01,"denmark",24.3
"86",2011-01-01,"germany",32.4
"87",2011-01-01,"estonia",9.3
"88",2011-01-01,"ireland",23.3
"89",2011-01-01,"greece",6.8
"90",2011-01-01,"spain",13.5
"91",2012-01-01,"euro_area_20_countries_from_2023",21.9
"92",2012-01-01,"belgium",24.7
"93",2012-01-01,"bulgaria",2.2
"94",2012-01-01,"czechia",5
"95",2012-01-01,"denmark",24.1
"96",2012-01-01,"germany",32.3
"97",2012-01-01,"estonia",9.1
"98",2012-01-01,"ireland",23.6
"99",2012-01-01,"greece",7.9
"100",2012-01-01,"spain",14.4
"101",2013-01-01,"euro_area_20_countries_from_2023",22.7
"102",2013-01-01,"belgium",24.2
"103",2013-01-01,"bulgaria",2.5
"104",2013-01-01,"czechia",5.8
"105",2013-01-01,"denmark",24
"106",2013-01-01,"germany",33.3
"107",2013-01-01,"estonia",8.8
"108",2013-01-01,"ireland",23.7
"109",2013-01-01,"greece",8.6
"110",2013-01-01,"spain",15.7
"111",2014-01-01,"euro_area_20_countries_from_2023",22.8
"112",2014-01-01,"belgium",23.6
"113",2014-01-01,"bulgaria",2.4
"114",2014-01-01,"czechia",5.5
"115",2014-01-01,"denmark",23.9
"116",2014-01-01,"germany",33.2
"117",2014-01-01,"estonia",8.3
"118",2014-01-01,"ireland",22.9
"119",2014-01-01,"greece",9.5
"120",2014-01-01,"spain",15.8
"121",2015-01-01,"euro_area_20_countries_from_2023",22.9
"122",2015-01-01,"belgium",24.2
"123",2015-01-01,"bulgaria",2.2
"124",2015-01-01,"czechia",5.3
"125",2015-01-01,"denmark",23.8
"126",2015-01-01,"germany",33.5
"127",2015-01-01,"estonia",9.3
"128",2015-01-01,"ireland",22.2
"129",2015-01-01,"greece",9.6
"130",2015-01-01,"spain",15.6
"131",2016-01-01,"euro_area_20_countries_from_2023",22.9
"132",2016-01-01,"belgium",24.6
"133",2016-01-01,"bulgaria",2
"134",2016-01-01,"czechia",5.7
"135",2016-01-01,"denmark",25
"136",2016-01-01,"germany",33.4
"137",2016-01-01,"estonia",9.7
"138",2016-01-01,"ireland",21.9
"139",2016-01-01,"greece",10
"140",2016-01-01,"spain",15.1
"141",2017-01-01,"euro_area_20_countries_from_2023",22.8
"142",2017-01-01,"belgium",24.5
"143",2017-01-01,"bulgaria",2.2
"144",2017-01-01,"czechia",6.2
"145",2017-01-01,"denmark",24.7
"146",2017-01-01,"germany",33.7
"147",2017-01-01,"estonia",9.5
"148",2017-01-01,"ireland",20.1
"149",2017-01-01,"greece",10
"150",2017-01-01,"spain",14.9
"151",2018-01-01,"euro_area_20_countries_from_2023",22.6
"152",2018-01-01,"belgium",24.5
"153",2018-01-01,"bulgaria",1.8
"154",2018-01-01,"czechia",6.3
"155",2018-01-01,"denmark",23.9
"156",2018-01-01,"germany",33.6
"157",2018-01-01,"estonia",10.9
"158",2018-01-01,"ireland",19.5
"159",2018-01-01,"greece",9.3
"160",2018-01-01,"spain",14.5
"161",2019-01-01,"euro_area_20_countries_from_2023",22.7
"162",2019-01-01,"belgium",24.8
"163",2019-01-01,"bulgaria",1.9
"164",2019-01-01,"czechia",6.3
"165",2019-01-01,"denmark",24.2
"166",2019-01-01,"germany",34.1
"167",2019-01-01,"estonia",11.2
"168",2019-01-01,"ireland",19.6
"169",2019-01-01,"greece",9.3
"170",2019-01-01,"spain",14.5
"171",2020-01-01,"euro_area_20_countries_from_2023",20.8
"172",2020-01-01,"belgium",24.4
"173",2020-01-01,"bulgaria",1.8
"174",2020-01-01,"czechia",5.7
"175",2020-01-01,"denmark",23.4
"176",2020-01-01,"germany",27.9
"177",2020-01-01,"estonia",12.1
"178",2020-01-01,"ireland",17.8
"179",2020-01-01,"greece",8.8
"180",2020-01-01,"spain",13.9
"181",2021-01-01,"euro_area_20_countries_from_2023",20.7
"182",2021-01-01,"belgium",24.1
"183",2021-01-01,"bulgaria",1.5
"184",2021-01-01,"czechia",5.7
"185",2021-01-01,"denmark",23.9
"186",2021-01-01,"germany",27.8
"187",2021-01-01,"estonia",12.2
"188",2021-01-01,"ireland",19.7
"189",2021-01-01,"greece",8.2
"190",2021-01-01,"spain",13.7
"191",2022-01-01,"euro_area_20_countries_from_2023",20.5
"192",2022-01-01,"belgium",23.8
"193",2022-01-01,"bulgaria",1.6
"194",2022-01-01,"czechia",6
"195",2022-01-01,"denmark",24.2
"196",2022-01-01,"germany",28
"197",2022-01-01,"estonia",13.2
"198",2022-01-01,"ireland",20
"199",2022-01-01,"greece",8
"200",2022-01-01,"spain",13.4
"201",2023-01-01,"euro_area_20_countries_from_2023",20.6
"202",2023-01-01,"belgium",23.7
"203",2023-01-01,"bulgaria",1.4
"204",2023-01-01,"czechia",6.9
"205",2023-01-01,"denmark",25.2
"206",2023-01-01,"germany",28.7
"207",2023-01-01,"estonia",13.5
"208",2023-01-01,"ireland",20.3
"209",2023-01-01,"greece",7.3
"210",2023-01-01,"spain",13.1
"211",2003-01-01,"france",17.4
"212",2004-01-01,"france",17.6
"213",2005-01-01,"france",17.8
"214",2006-01-01,"france",17.8
"215",2007-01-01,"france",17.9
"216",2008-01-01,"france",17.6
"217",2009-01-01,"france",17.9
"218",2010-01-01,"france",18.3
"219",2011-01-01,"france",18.3
"220",2012-01-01,"france",18.4
"221",2013-01-01,"france",18.8
"222",2014-01-01,"france",19.2
"223",2015-01-01,"france",19
"224",2016-01-01,"france",18.9
"225",2017-01-01,"france",18.9
"226",2018-01-01,"france",18.6
"227",2019-01-01,"france",18.1
"228",2020-01-01,"france",17.6
"229",2021-01-01,"france",17.3
"230",2022-01-01,"france",16.5
"231",2023-01-01,"france",16.6
"232",2003-01-01,"croatia",NA
"233",2003-01-01,"italy",NA
"234",2003-01-01,"cyprus",NA
"235",2003-01-01,"latvia",NA
"236",2003-01-01,"lithuania",NA
"237",2003-01-01,"luxembourg",NA
"238",2003-01-01,"hungary",NA
"239",2003-01-01,"malta",NA
"240",2003-01-01,"netherlands",NA
"241",2003-01-01,"austria",NA
"242",2003-01-01,"poland",NA
"243",2003-01-01,"portugal",NA
"244",2003-01-01,"romania",NA
"245",2003-01-01,"slovenia",NA
"246",2003-01-01,"slovakia",NA
"247",2003-01-01,"finland",NA
"248",2003-01-01,"sweden",NA
"249",2003-01-01,"iceland",NA
"250",2003-01-01,"norway",NA
"251",2003-01-01,"switzerland",NA
"252",2003-01-01,"bosnia_and_herzegovina",NA
"253",2003-01-01,"montenegro",NA
"254",2003-01-01,"north_macedonia",NA
"255",2003-01-01,"serbia",NA
