"country","date","metric_value","metric","units","min_value_country","max_value_country","min_value_indic","max_value_indic"
"Bulgaria","2003",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2004",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2005",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2006",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2007",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2008",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2009",7.9,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2010",11.3,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2011",12.3,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2012",13.3,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2013",13.9,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2014",12.4,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2015",10.1,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2016",8.6,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2017",7.2,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2018",6.2,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2019",5.2,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2020",6.1,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2021",5.2,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2022",4.2,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Bulgaria","2023",4.3,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2003",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2004",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2005",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2006",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2007",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2008",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2009",13.5,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2010",16.6,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2011",12.3,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2012",9.9,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2013",8.6,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2014",7.3,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2015",6.4,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2016",6.8,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2017",5.8,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2018",5.4,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2019",4.5,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2020",6.9,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2021",6.2,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2022",5.6,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Estonia","2023",6.4,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2003",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2004",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2005",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2006",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2007",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2008",NA,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2009",12.6,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2010",14.6,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2011",15.4,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2012",15.5,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2013",13.8,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2014",11.9,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2015",9.9,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2016",8.4,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2017",6.7,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2018",5.8,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2019",5,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2020",5.9,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2021",6.2,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2022",4.5,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
"Ireland","2023",4.3,"unemployment_rate","percentage",4.2,16.6,4.2,16.6
